name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.19466, 106.8235",1/1/2022,32.3,25,28.6,37.6,25,31.9,24,77.2,0.496,100,8.33,rain,0,0,37.1,21.7,261.8,1009.6,50.8,6.7,249.2,20.6,9,,2022-01-01T05:41:56,2022-01-01T18:10:21,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.19466, 106.8235",1/2/2022,32.8,25,28.1,37.8,25,31.1,23.9,79.2,0,0,0,,0,0,30.6,22.8,265.5,1009.2,49.3,6.8,220.2,19,7,,2022-01-02T05:42:27,2022-01-02T18:10:47,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.19466, 106.8235",1/3/2022,34.2,23.8,28.8,38.3,23.8,31.4,22.9,72.4,0,0,0,,0,0,18.4,20.5,310.2,1008.9,43.1,6.6,283.9,24.5,9,,2022-01-03T05:42:58,2022-01-03T18:11:11,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.19466, 106.8235",1/4/2022,32.8,24,28.4,37.4,24,31.7,23.4,75.4,0,0,0,,0,0,18,18,330.4,1009.9,43.5,6.1,291.8,25.1,10,,2022-01-04T05:43:28,2022-01-04T18:11:35,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.19466, 106.8235",1/5/2022,32.8,25,28.8,38.9,25,32.5,24.1,77.3,27.896,100,4.17,rain,0,0,19.4,14.3,336.2,1009.8,47.8,5.4,255.1,22.1,8,,2022-01-05T05:43:59,2022-01-05T18:11:59,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.19466, 106.8235",1/6/2022,32,25,27.6,39.5,25,30.5,25.1,87,13.511,100,16.67,rain,0,0,27.4,18,309.3,1010.5,61.3,5.2,226.3,19.5,8,,2022-01-06T05:44:29,2022-01-06T18:12:22,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.19466, 106.8235",1/7/2022,34.3,24.2,28.1,39.9,24.2,30.3,23.7,79.2,0.339,100,12.5,rain,0,0,31,17.1,244.9,1010.8,53,6,233.4,20.1,8,,2022-01-07T05:44:59,2022-01-07T18:12:44,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.19466, 106.8235",1/8/2022,32.3,24.2,28.4,38.3,24.2,31.6,24.2,79.3,0.006,100,4.17,rain,0,0,23.8,21,295.2,1009.9,52.1,6,266.6,23.1,9,,2022-01-08T05:45:29,2022-01-08T18:13:05,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.19466, 106.8235",1/9/2022,32,25.2,28.8,38.2,25.2,32.8,24.4,77.8,0,0,0,,0,0,30.6,28.7,285.4,1009.2,53.1,6.2,218.9,18.9,8,,2022-01-09T05:45:58,2022-01-09T18:13:26,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.19466, 106.8235",1/10/2022,31.6,25.2,28,38.6,25.2,31.4,24.6,82.4,11.093,100,8.33,rain,0,0,30.6,19.7,295.7,1009.2,55.5,6.1,235.5,20.2,8,10,2022-01-10T05:46:27,2022-01-10T18:13:46,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.19466, 106.8235",1/11/2022,31.6,24,26.6,38.6,24,28.5,24.4,88.4,61.27,100,25,rain,0,0,36.4,18.8,272,1011.1,69.6,5.5,143.7,12.4,6,10,2022-01-11T05:46:56,2022-01-11T18:14:05,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.19466, 106.8235",1/12/2022,31.1,24,26.5,37.1,24,28.7,24.2,87.9,19.686,100,16.67,rain,0,0,51.8,23.4,293.9,1011,65.3,5.8,205,17.6,7,10,2022-01-12T05:47:25,2022-01-12T18:14:23,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.19466, 106.8235",1/13/2022,30.8,24,27.1,36.5,24,30.2,24.3,85.4,0.752,100,12.5,rain,0,0,27.4,24.1,310.4,1011,56.2,6.2,130.6,11.3,6,30,2022-01-13T05:47:53,2022-01-13T18:14:41,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
