name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.28889, 106.90919",1/16/2022,29,25,27,34.5,25,29.8,25.2,90.4,8.99,100,8.33,rain,0,0,29.5,11,296.5,1010,41.5,4.6,203.1,17.5,7,30,2022-01-16T05:48:45,2022-01-16T18:15:17,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",1/17/2022,31,25,27.9,37.7,25,31.5,24.7,83.8,13.371,100,16.67,rain,0,0,32.8,18.4,298.7,1009.5,52.5,5.5,238.3,20.8,9,30,2022-01-17T05:49:11,2022-01-17T18:15:31,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.28889, 106.90919",1/18/2022,28,24,26,33.5,24,27.2,24.6,92.5,120.516,100,29.17,rain,0,0,40.7,18.4,300,1009.4,61.2,4.9,155,13.3,5,30,2022-01-18T05:49:37,2022-01-18T18:15:44,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",1/19/2022,31,24,27.1,37.6,24,29.3,24,84.5,60.05,100,25,rain,0,0,55.4,27.7,284.2,1008.6,59.2,5.5,240,20.7,8,30,2022-01-19T05:50:03,2022-01-19T18:15:56,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.28889, 106.90919",1/20/2022,30,24,25.8,34.1,24,26.4,23.3,86.5,3.272,100,16.67,rain,0,0,36,17.8,247.5,1009.5,48.1,6,89.8,7.8,4,10,2022-01-20T05:50:27,2022-01-20T18:16:08,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",1/21/2022,31,24,27.1,35.5,24,29.6,23.7,82.6,0.957,100,8.33,rain,0,0,34.9,14.8,264.3,1009.2,42.7,6.1,242.7,20.9,8,30,2022-01-21T05:50:52,2022-01-21T18:16:18,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",1/22/2022,31,24,27.1,36.5,24,29.7,24.1,84.4,14.151,100,16.67,rain,0,0,24.1,16.6,275,1009.3,48.6,5.5,93.8,8.1,6,10,2022-01-22T05:51:15,2022-01-22T18:16:28,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",1/23/2022,34,25,29,41.9,25,32.3,23.8,75.3,0,0,0,,0,0,28.4,16.6,262.2,1008.3,38,6.2,252.7,21.8,9,30,2022-01-23T05:51:38,2022-01-23T18:16:36,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.28889, 106.90919",1/24/2022,35,25,28.9,40.7,25,31.7,23.3,73.5,0,0,0,,0,0,35.3,27.8,247.7,1007.3,38,6.5,277.7,24.1,10,60,2022-01-24T05:52:01,2022-01-24T18:16:44,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",1/25/2022,32,25,28.5,37.9,25,32.3,24.1,77.5,3.308,100,8.33,rain,0,0,38.9,27.6,258.1,1007.5,40.6,7,218.9,19,8,30,2022-01-25T05:52:23,2022-01-25T18:16:51,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",1/26/2022,30,25,27.1,36.2,25,29.6,24.7,87,1.489,100,12.5,rain,0,0,31.7,13,268.4,1008.6,50.7,5.8,188.6,16.5,7,30,2022-01-26T05:52:44,2022-01-26T18:16:56,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.28889, 106.90919",1/27/2022,33,24,28.2,38,24,31,23.8,79,0.163,100,4.17,rain,0,0,32.8,18.4,309.5,1009.1,41.3,5.9,246.7,21.3,9,10,2022-01-27T05:53:04,2022-01-27T18:17:01,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.28889, 106.90919",1/28/2022,33,25,27.2,37.1,25,28.7,23.7,82.7,4.444,100,12.5,rain,0,0,32,14.8,260.6,1009.5,40.3,5.7,236.3,20.5,9,10,2022-01-28T05:53:24,2022-01-28T18:17:05,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
