"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","59","0","28","20","59","19","Sedang","-","Baik","Baik","Sedang","Baik","pm10","Sedang"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","59","0","28","22","56","20","Sedang","-","Baik","Baik","Sedang","Baik","pm10","Sedang"
"03:00","59","0","28","21","56","20","Sedang","-","Baik","Baik","Sedang","Baik","pm10","Sedang"
"04:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"05:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"06:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"07:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"08:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"09:00","58","0","28","20","56","19","Sedang","-","Baik","Baik","Sedang","Baik","pm10","Sedang"
"10:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11:00","56","0","28","20","57","20","Sedang","-","Baik","Baik","Sedang","Baik","o3","Sedang"
"12:00","55","0","28","20","58","21","Sedang","-","Baik","Baik","Sedang","Baik","o3","Sedang"
"13:00","54","0","28","20","59","21","Sedang","-","Baik","Baik","Sedang","Baik","o3","Sedang"
"14:00","54","0","28","20","58","22","Sedang","-","Baik","Baik","Sedang","Baik","o3","Sedang"
"15:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"16:00","53","0","28","20","55","22","Sedang","-","Baik","Baik","Sedang","Baik","o3","Sedang"
"17:00","53","0","28","20","54","23","Sedang","-","Baik","Baik","Sedang","Baik","o3","Sedang"
"18:00","52","0","28","20","53","23","Sedang","-","Baik","Baik","Sedang","Baik","o3","Sedang"
"19:00","52","0","28","20","53","23","Sedang","-","Baik","Baik","Sedang","Baik","o3","Sedang"
"20:00","52","0","27","20","53","23","Sedang","-","Baik","Baik","Sedang","Baik","o3","Sedang"
"21:00","52","0","27","20","53","23","Sedang","-","Baik","Baik","Sedang","Baik","o3","Sedang"
"22:00","52","0","27","20","54","23","Sedang","-","Baik","Baik","Sedang","Baik","o3","Sedang"
"23:00","53","0","27","20","55","22","Sedang","-","Baik","Baik","Sedang","Baik","o3","Sedang"
