"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","43","56","30","12","18","13","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"04:00","41","58","30","12","18","13","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"05:00","39","60","30","12","17","13","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"06:00","38","62","30","13","17","13","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"07:00","38","64","30","13","17","13","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"08:00","38","65","30","14","17","12","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"09:00","39","67","30","14","17","13","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"10:00","40","67","30","14","17","13","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"11:00","42","67","30","14","17","13","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"12:00","43","68","30","14","18","14","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"13:00","44","68","29","14","17","14","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"14:00","45","68","29","14","16","15","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"15:00","45","68","29","14","17","15","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"16:00","46","69","30","14","18","16","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"17:00","46","69","29","15","19","16","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"18:00","46","69","26","15","20","17","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"19:00","47","70","26","15","20","17","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"20:00","47","72","25","16","20","18","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"21:00","48","74","25","16","20","19","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"22:00","49","77","25","17","20","19","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"23:00","50","79","25","18","20","20","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
