"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"04:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"05:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"06:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"07:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"08:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"09:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"12:00","16","28","19","6","44","6","Baik","Baik","Baik","Baik","Baik","Baik","o3","Baik"
"13:00","16","28","19","6","45","6","Baik","Baik","Baik","Baik","Baik","Baik","o3","Baik"
"14:00","16","29","20","6","45","6","Baik","Baik","Baik","Baik","Baik","Baik","o3","Baik"
"15:00","16","29","19","6","46","6","Baik","Baik","Baik","Baik","Baik","Baik","o3","Baik"
"16:00","16","28","18","5","46","6","Baik","Baik","Baik","Baik","Baik","Baik","o3","Baik"
"17:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"18:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19:00","17","25","18","5","43","6","Baik","Baik","Baik","Baik","Baik","Baik","o3","Baik"
"20:00","17","25","18","5","41","6","Baik","Baik","Baik","Baik","Baik","Baik","o3","Baik"
"21:00","17","25","19","5","40","6","Baik","Baik","Baik","Baik","Baik","Baik","o3","Baik"
"22:00","17","25","19","5","39","6","Baik","Baik","Baik","Baik","Baik","Baik","o3","Baik"
"23:00","16","25","20","5","38","6","Baik","Baik","Baik","Baik","Baik","Baik","o3","Baik"
