"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","73","90","50","12","52","26","Sedang","Sedang","Sedang","Baik","Sedang","Baik","pm25","Sedang"
"01:00","71","86","50","12","51","26","Sedang","Sedang","Sedang","Baik","Sedang","Baik","pm25","Sedang"
"02:00","70","81","50","12","51","25","Sedang","Sedang","Sedang","Baik","Sedang","Baik","pm25","Sedang"
"03:00","68","79","49","12","51","25","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"04:00","66","76","49","12","51","25","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"05:00","65","74","49","12","51","24","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"06:00","63","71","48","11","51","24","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"07:00","61","69","47","11","52","22","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"08:00","59","66","48","11","51","22","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"09:00","58","65","48","10","50","23","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"10:00","57","64","48","10","50","23","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"11:00","56","64","48","10","49","22","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"12:00","56","63","48","10","48","22","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"13:00","55","61","48","10","48","23","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"14:00","55","61","48","10","49","23","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"15:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"16:00","54","62","48","11","48","25","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"17:00","54","63","48","11","47","25","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"18:00","54","63","48","11","47","26","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"19:00","54","64","48","12","45","28","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"20:00","54","65","48","13","45","31","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"21:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"22:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"23:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
