"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","33","46","37","5","65","11","Baik","Baik","Baik","Baik","Sedang","Baik","o3","Sedang"
"04:00","33","47","37","6","65","11","Baik","Baik","Baik","Baik","Sedang","Baik","o3","Sedang"
"05:00","33","50","37","6","66","11","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"06:00","33","52","35","7","66","11","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"07:00","34","54","33","7","66","11","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"08:00","35","54","33","7","67","11","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"09:00","36","54","33","8","66","12","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"10:00","37","55","34","8","67","12","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"11:00","38","56","34","8","69","13","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"12:00","39","57","34","8","73","13","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"13:00","41","58","35","8","76","13","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"14:00","42","59","35","8","78","13","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"15:00","43","60","35","8","81","13","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"16:00","44","62","35","8","84","13","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"17:00","46","62","35","8","87","14","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"18:00","47","63","35","8","88","14","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"19:00","49","63","35","8","89","15","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"20:00","50","65","35","9","89","17","Sedang","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"21:00","51","66","36","9","88","18","Sedang","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"22:00","51","67","36","10","87","19","Sedang","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"23:00","52","67","36","10","86","19","Sedang","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
