"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"04:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"05:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"06:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"07:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"08:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"09:00","35","53","35","14","60","31","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"10:00","35","53","35","14","62","32","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"11:00","35","54","36","14","64","32","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"12:00","35","54","36","15","64","32","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"13:00","35","54","36","15","62","32","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"14:00","35","54","36","15","63","31","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"15:00","35","54","36","15","63","32","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"16:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"17:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"18:00","35","54","36","15","62","34","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"19:00","35","53","36","15","62","35","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"20:00","35","54","36","15","62","35","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"21:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"22:00","35","54","37","16","61","35","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
"23:00","35","54","36","15","63","34","Baik","Sedang","Baik","Baik","Sedang","Baik","o3","Sedang"
