"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","29","33","18","7","18","13","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"03:00","29","33","18","7","17","13","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"04:00","29","33","18","7","17","13","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"05:00","29","32","18","7","17","13","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"06:00","29","32","18","7","17","13","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"07:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"08:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"09:00","30","33","18","7","17","13","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"10:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11:00","30","34","19","7","17","14","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"12:00","30","34","19","7","17","14","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"13:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"14:00","31","37","20","7","17","14","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"15:00","32","35","20","7","17","15","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"16:00","32","34","20","7","16","16","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"17:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"18:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19:00","33","35","20","8","17","17","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"20:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"21:00","34","36","20","8","17","18","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"22:00","35","37","20","9","17","18","Baik","Baik","Baik","Baik","Baik","Baik","pm25","Baik"
"23:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
