"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","71","92","21","8","42","20","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"04:00","71","91","21","8","42","20","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"05:00","71","91","21","7","42","20","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"06:00","70","90","21","7","42","19","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"07:00","70","89","20","7","42","20","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"08:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"09:00","69","85","20","8","42","20","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"10:00","68","85","20","8","42","20","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"11:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"12:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"13:00","66","86","20","8","44","21","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"14:00","65","86","20","8","44","21","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"15:00","65","86","20","8","43","21","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"16:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"17:00","65","85","20","8","45","21","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"18:00","65","86","20","8","46","21","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"19:00","66","86","20","8","46","21","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"20:00","66","86","20","8","46","21","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"21:00","66","85","20","8","46","21","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"22:00","66","84","20","8","46","21","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"23:00","66","84","20","8","45","21","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
