"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","55","65","24","9","29","22","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","54","62","23","9","28","21","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"03:00","53","60","22","9","28","20","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"04:00","53","59","21","8","28","20","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"05:00","52","58","21","8","28","19","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"06:00","51","57","20","8","28","18","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"07:00","51","57","19","8","28","18","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"08:00","50","56","19","7","28","18","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"09:00","49","56","19","7","28","18","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"10:00","48","56","19","7","28","17","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"11:00","47","56","19","7","28","16","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"12:00","46","55","19","7","27","16","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"13:00","45","56","20","7","27","18","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"14:00","45","56","19","7","27","18","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"15:00","44","55","19","7","28","18","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"16:00","44","56","20","7","27","18","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"17:00","44","57","20","7","27","17","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"18:00","43","57","20","7","26","16","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"19:00","43","57","20","7","25","16","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"20:00","43","57","20","7","24","15","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"21:00","43","56","20","7","24","15","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"22:00","43","55","20","7","24","14","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"23:00","42","53","20","6","23","14","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
