"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","21","30","55","9","11","25","Baik","Baik","Sedang","Baik","Baik","Baik","so2","Sedang"
"04:00","21","30","55","9","11","25","Baik","Baik","Sedang","Baik","Baik","Baik","so2","Sedang"
"05:00","21","30","55","9","11","25","Baik","Baik","Sedang","Baik","Baik","Baik","so2","Sedang"
"06:00","22","30","55","9","11","26","Baik","Baik","Sedang","Baik","Baik","Baik","so2","Sedang"
"07:00","22","30","55","9","11","26","Baik","Baik","Sedang","Baik","Baik","Baik","so2","Sedang"
"08:00","23","32","55","9","11","26","Baik","Baik","Sedang","Baik","Baik","Baik","so2","Sedang"
"09:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10:00","24","32","54","8","11","25","Baik","Baik","Sedang","Baik","Baik","Baik","so2","Sedang"
"11:00","24","33","54","8","12","23","Baik","Baik","Sedang","Baik","Baik","Baik","so2","Sedang"
"12:00","25","32","54","8","12","22","Baik","Baik","Sedang","Baik","Baik","Baik","so2","Sedang"
"13:00","25","32","54","8","13","20","Baik","Baik","Sedang","Baik","Baik","Baik","so2","Sedang"
"14:00","25","32","54","7","13","19","Baik","Baik","Sedang","Baik","Baik","Baik","so2","Sedang"
"15:00","25","32","54","7","13","18","Baik","Baik","Sedang","Baik","Baik","Baik","so2","Sedang"
"16:00","25","32","53","7","13","17","Baik","Baik","Sedang","Baik","Baik","Baik","so2","Sedang"
"17:00","25","33","53","7","13","16","Baik","Baik","Sedang","Baik","Baik","Baik","so2","Sedang"
"18:00","25","33","53","7","13","16","Baik","Baik","Sedang","Baik","Baik","Baik","so2","Sedang"
"19:00","25","34","53","7","13","16","Baik","Baik","Sedang","Baik","Baik","Baik","so2","Sedang"
"20:00","25","35","53","7","13","16","Baik","Baik","Sedang","Baik","Baik","Baik","so2","Sedang"
"21:00","25","37","53","7","13","16","Baik","Baik","Sedang","Baik","Baik","Baik","so2","Sedang"
"22:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"23:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
