"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","58","71","43","13","54","23","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"04:00","57","71","43","13","53","22","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"05:00","56","70","43","12","53","21","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"06:00","56","70","43","12","53","20","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"07:00","55","68","43","11","53","20","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"08:00","55","68","42","12","52","20","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"09:00","55","68","42","12","51","21","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"10:00","54","68","43","12","51","22","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"11:00","54","69","44","13","52","23","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"12:00","54","71","44","13","52","24","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"13:00","55","72","45","13","53","25","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"14:00","55","73","45","13","53","25","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"15:00","56","72","45","14","54","26","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"16:00","56","72","45","14","53","26","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"17:00","56","72","45","14","53","26","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"18:00","57","72","44","14","54","27","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"19:00","57","73","44","14","55","27","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"20:00","58","74","44","14","56","27","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"21:00","58","74","44","14","56","27","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"22:00","58","74","44","14","56","29","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
"23:00","58","74","44","15","56","30","Sedang","Sedang","Baik","Baik","Sedang","Baik","pm25","Sedang"
