name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.35693, 106.80367",1/15/2022,29,24,26.7,34.1,24,29.2,24.3,87.2,5.342,100,12.5,rain,0,0,30.2,16.6,291.1,1010.6,61.5,5.6,167.9,14.5,6,30,2022-01-15T05:48:37,2022-01-15T18:15:33,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.35693, 106.80367",1/16/2022,29,24.9,26.9,34.7,24.9,29.6,25.2,90.3,6.368,100,12.5,rain,0,0,27.7,11.6,300.9,1010.1,48.7,4.8,206.1,17.6,7,30,2022-01-16T05:49:04,2022-01-16T18:15:48,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/17/2022,31,24.8,27.7,37.7,24.8,31,24.7,84.6,9.578,100,20.83,rain,0,0,29.9,18.4,301.2,1009.6,59.8,5.8,235.3,20.3,9,30,2022-01-17T05:49:31,2022-01-17T18:16:02,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.35693, 106.80367",1/18/2022,28,24,25.9,32.2,24,27.1,24.6,92.5,92.373,100,29.17,rain,0,0,40.7,18.4,302,1009.4,67.3,4.9,160.2,13.8,5,30,2022-01-18T05:49:56,2022-01-18T18:16:15,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96737099999,96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/19/2022,30.7,24,26.9,36.4,24,29.1,24,85.1,48.866,100,29.17,rain,0,0,55.4,27.7,288.5,1008.7,66.3,5.8,235.2,20.2,8,10,2022-01-19T05:50:22,2022-01-19T18:16:28,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.35693, 106.80367",1/20/2022,29.8,24,25.6,34.2,24,26.2,23.3,87.2,8.048,100,16.67,rain,0,0,31.3,14.2,250.1,1009.5,54.6,6.4,84.3,7.2,4,10,2022-01-20T05:50:47,2022-01-20T18:16:39,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/21/2022,31,24,27,36,24,29.5,23.7,82.8,2.127,100,12.5,rain,0,0,33.5,14.8,277.1,1009.3,47.9,6.4,238.4,20.6,8,30,2022-01-21T05:51:11,2022-01-21T18:16:49,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/22/2022,30.8,24,27,36.5,24,29.5,24.1,85,15.391,100,16.67,rain,0,0,21.2,16.6,277.9,1009.4,54,5.8,97.3,8.4,6,10,2022-01-22T05:51:35,2022-01-22T18:16:59,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/23/2022,33.5,25,28.7,41.1,25,32,23.9,76.3,0,0,0,,0,0,27.7,17.3,267.9,1008.4,44.4,6.7,237.4,20.6,8,30,2022-01-23T05:51:58,2022-01-23T18:17:07,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.35693, 106.80367",1/24/2022,34.7,25,28.8,41,25,31.7,23.5,74.6,0,0,0,,0,0,36.4,28.4,250,1007.4,41.3,6.9,270.8,23.4,9,30,2022-01-24T05:52:20,2022-01-24T18:17:15,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/25/2022,31.8,25,28.3,38.1,25,31.8,24.2,78.8,2.25,100,8.33,rain,0,0,35.3,26.2,262.7,1007.6,45.1,7.5,207.8,17.9,7,30,2022-01-25T05:52:42,2022-01-25T18:17:22,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/26/2022,30,24.8,27,36.4,24.8,29.2,24.6,87.2,1.665,100,16.67,rain,0,0,28.4,13,276.1,1008.7,56.3,6.2,186.9,16.1,7,30,2022-01-26T05:53:03,2022-01-26T18:17:27,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/27/2022,32.7,24.2,28,37.1,24.2,30.9,24,80.1,0.405,100,4.17,rain,0,0,28.4,19.6,309.5,1009.1,46.6,6.4,248.2,21.6,9,10,2022-01-27T05:53:24,2022-01-27T18:17:32,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.35693, 106.80367",1/28/2022,32.8,25,27.1,37.5,25,28.9,23.9,83.6,6.057,100,12.5,rain,0,0,30.2,15.7,272,1009.6,45.7,5.9,229.5,19.9,9,10,2022-01-28T05:53:44,2022-01-28T18:17:36,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/29/2022,31.8,24.2,27.6,37.9,24.2,30.4,23.9,81.2,0,0,0,,0,0,23,14.8,317.5,1009.4,44.4,5.2,199,17.4,7,30,2022-01-29T05:54:03,2022-01-29T18:17:39,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/30/2022,31.8,24.8,27.7,38.1,24.8,30.7,23.9,80.4,0.147,100,8.33,rain,0,0,23.4,13.9,270.5,1009.1,48.3,4.8,245.1,21.2,9,30,2022-01-30T05:54:22,2022-01-30T18:17:41,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",1/31/2022,31.8,25,28.2,39,25,31.2,23.7,77.3,5.491,100,8.33,rain,0,0,27.4,16.6,314.9,1009,49.4,5.7,201.1,17.4,8,30,2022-01-31T05:54:40,2022-01-31T18:17:41,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/1/2022,31.8,25.2,27.9,38.1,25.2,30.7,24.3,81.8,2.409,100,8.33,rain,0,0,23.8,15.7,311.4,1008.5,51.3,5.5,281,24.3,9,30,2022-02-01T05:54:57,2022-02-01T18:17:41,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/2/2022,31.7,23.7,27.4,37.5,23.7,30.1,24,82.3,7.327,100,20.83,rain,0,0,24.1,22.3,337.4,1009.6,59.6,6.3,212.3,18.3,7,10,2022-02-02T05:55:13,2022-02-02T18:17:41,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/3/2022,32.5,25.2,28.4,37.8,25.2,31.9,24.2,79.1,2.295,100,16.67,rain,0,0,21.6,15.1,339,1009,43.4,5.8,188,16.3,6,30,2022-02-03T05:55:29,2022-02-03T18:17:39,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/4/2022,31,23.8,26.6,37.5,23.8,28.8,24.1,87,58.9,100,25,rain,0,0,27.4,15.4,289.9,1008.2,63.6,5,246.7,21.5,9,30,2022-02-04T05:55:44,2022-02-04T18:17:36,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/5/2022,29.3,24,26.1,35.1,24,27.6,24.2,89.6,34.161,100,20.83,rain,0,0,29.9,20.5,253.5,1008.6,59.1,6,130.7,11.2,6,10,2022-02-05T05:55:59,2022-02-05T18:17:32,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/6/2022,30.8,24.7,27.2,35.6,24.7,29.7,23.9,82.9,5.534,100,29.17,rain,0,0,50.4,21.1,274.6,1008,57.1,6.3,184.4,15.9,7,10,2022-02-06T05:56:12,2022-02-06T18:17:27,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/7/2022,31,24.9,27.5,36.5,24.9,30,24.3,83.9,10.668,100,25,rain,0,0,31,18.1,335.6,1008.2,59.4,5.9,193,16.7,7,10,2022-02-07T05:56:25,2022-02-07T18:17:22,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/8/2022,27.2,25,26.2,31.2,25,27.1,24.8,92.4,38.448,100,25,rain,0,0,29.2,10.6,150,1009.2,66.2,4.9,195.4,16.9,7,30,2022-02-08T05:56:37,2022-02-08T18:17:15,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/9/2022,31,24.6,27.1,37.7,24.6,29.2,23.9,83.3,9.139,100,20.83,rain,0,0,68.4,37.1,266.7,1009.2,58.6,5.7,226,19.6,8,10,2022-02-09T05:56:49,2022-02-09T18:17:08,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/10/2022,30,24,26.8,34.1,24,28.7,23.2,81.3,0.788,100,16.67,rain,0,0,44.6,22.3,254.6,1008.2,59.9,6.3,128.5,11.1,5,10,2022-02-10T05:57:00,2022-02-10T18:17:00,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/11/2022,30,24,27.3,36.2,24,30.1,23.8,81.8,0.153,100,4.17,rain,0,0,35.3,18.4,271.9,1007.6,53.7,5.9,269.3,23.2,9,10,2022-02-11T05:57:10,2022-02-11T18:16:51,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/12/2022,30,25.2,27.6,36.4,25.2,30.8,24.5,83.5,0.035,100,4.17,rain,0,0,31.3,11.8,284.3,1006.6,54.4,5.6,205.4,17.7,9,10,2022-02-12T05:57:19,2022-02-12T18:16:41,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/13/2022,30.7,24.2,26.8,37.2,24.2,28.9,24.2,85.9,0.395,100,12.5,rain,0,0,28.1,16.6,282.6,1006.6,55.6,5.4,183.5,15.9,9,10,2022-02-13T05:57:28,2022-02-13T18:16:30,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/14/2022,29.8,23.7,26.2,34.9,23.7,27.4,23.5,86,13.043,100,12.5,rain,0,0,21.6,18.1,232.1,1008,47.2,5.6,190.9,16.4,8,10,2022-02-14T05:57:36,2022-02-14T18:16:18,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/15/2022,33.7,24.5,27.3,39.3,24.5,29.5,23.8,82.7,8.338,100,8.33,rain,0,0,20.9,13.7,67.4,1007.9,50.7,5.4,199.5,17.2,7,10,2022-02-15T05:57:43,2022-02-15T18:16:06,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/16/2022,32.8,24.2,27.9,38.2,24.2,30.2,23.9,80.5,25.751,100,8.33,rain,0,0,23.4,33.5,38.4,1006.3,52.4,5.4,257.4,22.2,9,30,2022-02-16T05:57:50,2022-02-16T18:15:53,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/17/2022,30.8,24,27.1,37.5,24,29.5,24,84.2,2.535,100,16.67,rain,0,0,28.1,14.5,265.3,1006.7,53.3,5.5,208.9,18.2,7,10,2022-02-17T05:57:56,2022-02-17T18:15:39,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/18/2022,29.8,25.2,26.9,35.6,25.2,28.9,24.4,86.8,5.406,100,20.83,rain,0,0,20.2,11.4,8.3,1008.4,55.6,4.6,99.1,8.6,4,10,2022-02-18T05:58:01,2022-02-18T18:15:24,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/19/2022,30.2,24.8,27,35.4,24.8,29.5,24.3,85.9,1.016,100,20.83,rain,0,0,22.3,18.4,348,1009.4,50.8,5.4,239.5,20.7,8,30,2022-02-19T05:58:06,2022-02-19T18:15:08,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/20/2022,30.3,25.2,27.3,36.9,25.2,30,24.7,86.3,2.797,100,12.5,rain,0,0,24.8,13,260.9,1009.6,52.4,5.3,204,17.4,8,30,2022-02-20T05:58:10,2022-02-20T18:14:52,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/21/2022,32.8,24,28,38.8,24,30.8,23.4,77.4,1.041,100,8.33,rain,0,0,24.1,17.8,310.2,1009.2,53.8,6.1,236.1,20.2,9,30,2022-02-21T05:58:14,2022-02-21T18:14:35,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/22/2022,32.8,24,28.5,37,24,31.6,23.6,75.9,4.097,100,8.33,rain,0,0,30.2,19,279.6,1009.8,49.4,6.5,255.4,21.9,9,30,2022-02-22T05:58:17,2022-02-22T18:14:17,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.35693, 106.80367",2/23/2022,31.8,24,27.8,38.2,24,30.3,23.1,76.9,7.932,100,12.5,rain,0,0,31.3,29.5,279,1010.4,52.6,6.3,200.6,17.2,7,30,2022-02-23T05:58:19,2022-02-23T18:13:59,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
