"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","75","103","68","14","18","81","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"04:00","75","101","68","13","18","77","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"05:00","74","98","68","13","18","73","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"06:00","73","97","68","12","18","70","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"07:00","72","96","68","13","18","69","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"08:00","72","96","68","12","18","67","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"09:00","71","96","68","12","18","66","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"10:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11:00","70","98","68","13","20","67","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"12:00","69","99","67","13","21","68","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"13:00","69","100","67","13","23","69","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"14:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"15:00","70","102","67","13","24","70","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"16:00","70","102","67","13","25","70","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"17:00","71","104","67","14","26","69","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"18:00","71","106","67","14","26","69","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"19:00","71","105","66","14","27","69","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"20:00","72","103","66","14","26","70","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"21:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"22:00","72","102","66","14","25","73","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
"23:00","73","101","66","14","25","72","Sedang","Tidak Sehat","Sedang","Baik","Baik","Sedang","pm25","Tidak Sehat"
