"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","60","85","62","9","29","53","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"04:00","59","84","61","9","28","53","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"05:00","59","84","61","8","28","53","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"06:00","59","83","61","8","28","53","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"07:00","58","82","61","8","28","52","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"08:00","58","81","61","8","28","52","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"09:00","58","80","60","9","27","52","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"10:00","58","82","60","9","27","53","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"11:00","58","83","60","9","27","53","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"12:00","59","85","61","9","28","53","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"13:00","59","86","60","9","27","52","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"14:00","60","87","60","9","27","50","Sedang","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"15:00","60","88","60","9","28","49","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"16:00","61","88","60","10","29","48","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"17:00","62","89","60","10","30","45","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"18:00","62","90","60","10","30","42","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"19:00","62","90","60","10","30","39","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"20:00","62","90","60","10","30","38","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"21:00","62","91","60","10","31","39","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"22:00","62","91","60","10","31","39","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"23:00","62","93","60","10","31","39","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
