"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","34","66","58","10","5","49","Baik","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"04:00","34","67","58","11","5","50","Baik","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"05:00","33","67","58","11","5","51","Baik","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"06:00","33","67","58","12","5","52","Baik","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"07:00","33","65","58","12","5","52","Baik","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"08:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"09:00","32","63","58","12","5","53","Baik","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"10:00","32","63","58","12","5","55","Baik","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"11:00","33","64","58","12","5","56","Baik","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"12:00","33","63","58","12","5","56","Baik","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"13:00","33","62","58","12","5","56","Baik","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"14:00","33","60","58","12","5","56","Baik","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"15:00","33","60","58","12","5","55","Baik","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"16:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"17:00","34","59","58","12","5","55","Baik","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"18:00","34","58","58","12","4","55","Baik","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"19:00","34","57","58","12","4","55","Baik","Sedang","Sedang","Baik","Baik","Sedang","so2","Sedang"
"20:00","34","57","58","12","4","55","Baik","Sedang","Sedang","Baik","Baik","Sedang","so2","Sedang"
"21:00","34","58","58","12","4","55","Baik","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"22:00","34","58","58","12","4","55","Baik","Sedang","Sedang","Baik","Baik","Sedang","pm25","Sedang"
"23:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
