"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","61","75","54","7","29","8","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"04:00","61","74","54","7","29","7","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"05:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"06:00","61","73","54","7","30","7","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"07:00","60","72","54","7","30","6","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"08:00","60","71","54","7","30","6","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"09:00","59","71","54","7","30","6","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"10:00","59","70","54","7","29","6","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"11:00","58","70","54","7","29","6","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"12:00","58","70","54","7","28","6","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"13:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"14:00","57","69","54","7","28","6","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"15:00","57","68","54","7","29","6","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"16:00","57","69","54","7","29","6","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"17:00","56","69","54","7","29","6","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"18:00","56","69","54","7","30","5","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"19:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20:00","56","69","54","7","31","5","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"21:00","56","69","54","7","32","5","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"22:00","56","69","54","7","32","5","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"23:00","57","69","54","7","32","4","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
