epochs,learning_rate,optimizer,lstm_units,R2,RMSE,MBE,NSE
100,0.0001,adam,16,0.37425673927196923,0.1551007077160341,-0.005368484318942023,-154.52997314961598
100,0.0001,adam,32,0.38215300882228975,0.1541189909896485,0.019105500198326256,-156.25600643031257
100,0.0001,adam,64,0.4240115831783634,0.14880672680072873,-0.030191419336129226,-165.3591881830345
100,0.0001,rmsprop,16,0.25927778315934324,0.16874984182921007,0.04205137241440859,-150.57619581996266
100,0.0001,rmsprop,32,0.3619674668161792,0.15661635093620713,-0.004996155898758477,-156.00067403594898
100,0.0001,rmsprop,64,0.42088224996464185,0.14921041118320594,-0.030288631620487807,-166.39442995097528
100,0.001,adam,16,0.5560765669930143,0.13063806053217777,0.015745021017833687,-171.89150894722437
100,0.001,adam,32,0.5476977592415024,0.13186515775051108,-0.002270635213220932,-169.24953571073505
100,0.001,adam,64,0.5700168172119202,0.12857052700108576,-0.02254112336864286,-181.54124710027534
100,0.001,rmsprop,16,0.3938724582742723,0.15265031265732387,0.05939758130172232,-171.37205288978066
100,0.001,rmsprop,32,0.47792734385971725,0.14167106630849957,0.007431948978713453,-156.16012925633783
100,0.001,rmsprop,64,0.5731002840914141,0.12810869933685998,-0.02672934581786013,-176.26215611647675
100,0.01,adam,16,0.48772115306212893,0.14033593763661648,0.0036323365811352292,-160.13871337325008
100,0.01,adam,32,-0.14280511207199353,0.20960506658297925,-0.0924058763907656,-164.3472334030234
100,0.01,adam,64,0.5033195847340142,0.13818286943727215,-0.011581210109520951,-171.12980684703044
100,0.01,rmsprop,16,0.5204248635929725,0.1357825681429115,-0.033738256219403705,-182.1858770677423
100,0.01,rmsprop,32,0.5562820680382202,0.13060781954507997,-0.02205625959988024,-174.0952844601359
100,0.01,rmsprop,64,0.5740502739969564,0.12796607830826318,0.010860133697941485,-171.44843078456927
