system:index,Optical_Depth_047,date,name,.geo
MCD19A2_A2000169_h28v09_061_2022157215016_01_0_0,294,2000-06-17,bundaran_hi,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000169_h28v09_061_2022157215016_01_1_0,353,2000-06-17,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000169_h28v09_061_2022157215016_01_3_0,391,2000-06-17,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000169_h28v09_061_2022157215016_01_4_0,478,2000-06-17,kebun_jeruk,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000178_h28v09_061_2022157224036_01_2_0,457,2000-06-26,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000179_h28v09_061_2022157224606_02_1_0,712,2000-06-27,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000180_h28v09_061_2022157225200_01_2_0,452,2000-06-28,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000180_h28v09_061_2022157225200_01_3_0,553,2000-06-28,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000189_h28v09_061_2022157233806_01_0_0,267,2000-07-07,bundaran_hi,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000189_h28v09_061_2022157233806_01_1_0,239,2000-07-07,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000189_h28v09_061_2022157233806_01_2_0,132,2000-07-07,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000189_h28v09_061_2022157233806_01_3_0,145,2000-07-07,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000190_h28v09_061_2022157234428_01_4_0,484,2000-07-08,kebun_jeruk,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000194_h28v09_061_2022158000550_01_0_0,335,2000-07-12,bundaran_hi,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000194_h28v09_061_2022158000550_01_1_0,190,2000-07-12,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000194_h28v09_061_2022158000550_01_2_0,369,2000-07-12,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000194_h28v09_061_2022158000550_01_3_0,298,2000-07-12,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000194_h28v09_061_2022158000550_01_4_0,534,2000-07-12,kebun_jeruk,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000195_h28v09_061_2022158001110_02_1_0,345,2000-07-13,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000195_h28v09_061_2022158001110_02_2_0,343,2000-07-13,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000195_h28v09_061_2022158001110_02_3_0,497,2000-07-13,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000196_h28v09_061_2022158001627_01_2_0,614,2000-07-14,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000196_h28v09_061_2022158001627_01_3_0,587,2000-07-14,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000197_h28v09_061_2022158002225_01_1_0,428,2000-07-15,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000198_h28v09_061_2022158002823_01_0_0,706,2000-07-16,bundaran_hi,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000198_h28v09_061_2022158002823_01_1_0,606,2000-07-16,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000198_h28v09_061_2022158002823_01_2_0,547,2000-07-16,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000198_h28v09_061_2022158002823_01_3_0,718,2000-07-16,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000201_h28v09_061_2022158004404_01_1_0,296,2000-07-19,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000203_h28v09_061_2022158005453_01_2_0,433,2000-07-21,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000204_h28v09_061_2022158005929_02_1_0,599,2000-07-22,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000205_h28v09_061_2022158010542_01_0_0,260,2000-07-23,bundaran_hi,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000205_h28v09_061_2022158010542_01_1_0,253,2000-07-23,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000205_h28v09_061_2022158010542_01_2_0,243,2000-07-23,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000205_h28v09_061_2022158010542_01_3_0,158,2000-07-23,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000205_h28v09_061_2022158010542_01_4_0,268,2000-07-23,kebun_jeruk,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000206_h28v09_061_2022158011131_01_1_0,370,2000-07-24,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000206_h28v09_061_2022158011131_01_2_0,417,2000-07-24,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000206_h28v09_061_2022158011131_01_3_0,452,2000-07-24,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000207_h28v09_061_2022158011632_01_1_0,472,2000-07-25,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000207_h28v09_061_2022158011632_01_2_0,680,2000-07-25,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000207_h28v09_061_2022158011632_01_3_0,602,2000-07-25,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000207_h28v09_061_2022158011632_01_4_0,633,2000-07-25,kebun_jeruk,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000210_h28v09_061_2022158013453_01_2_0,798,2000-07-28,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000212_h28v09_061_2022158014535_01_2_0,186,2000-07-30,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000216_h28v09_061_2022158020724_01_0_0,438,2000-08-03,bundaran_hi,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000216_h28v09_061_2022158020724_01_1_0,445,2000-08-03,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000216_h28v09_061_2022158020724_01_3_0,388,2000-08-03,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000235_h28v09_061_2022161013956_01_1_0,390,2000-08-22,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000235_h28v09_061_2022161013956_01_3_0,275,2000-08-22,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000236_h28v09_061_2022161014445_02_1_0,490,2000-08-23,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000236_h28v09_061_2022161014445_02_2_0,403,2000-08-23,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000236_h28v09_061_2022161014445_02_3_0,322,2000-08-23,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000237_h28v09_061_2022161014952_01_1_0,406,2000-08-24,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000242_h28v09_061_2022161021617_01_1_0,566,2000-08-29,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000248_h28v09_061_2022161024743_01_1_0,598,2000-09-04,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000248_h28v09_061_2022161024743_01_2_0,513,2000-09-04,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000248_h28v09_061_2022161024743_01_3_0,596,2000-09-04,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000252_h28v09_061_2022161030949_02_1_0,623,2000-09-08,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000252_h28v09_061_2022161030949_02_3_0,489,2000-09-08,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000253_h28v09_061_2022161031603_01_0_0,236,2000-09-09,bundaran_hi,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000253_h28v09_061_2022161031603_01_1_0,64,2000-09-09,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000253_h28v09_061_2022161031603_01_2_0,31,2000-09-09,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000253_h28v09_061_2022161031603_01_3_0,180,2000-09-09,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000253_h28v09_061_2022161031603_01_4_0,255,2000-09-09,kebun_jeruk,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000254_h28v09_061_2022161032237_01_0_0,353,2000-09-10,bundaran_hi,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000254_h28v09_061_2022161032237_01_1_0,468,2000-09-10,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000254_h28v09_061_2022161032237_01_2_0,357,2000-09-10,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000254_h28v09_061_2022161032237_01_3_0,178,2000-09-10,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000254_h28v09_061_2022161032237_01_4_0,391,2000-09-10,kebun_jeruk,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000255_h28v09_061_2022161032821_01_0_0,375,2000-09-11,bundaran_hi,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000255_h28v09_061_2022161032821_01_1_0,349,2000-09-11,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000255_h28v09_061_2022161032821_01_2_0,229,2000-09-11,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000255_h28v09_061_2022161032821_01_3_0,310,2000-09-11,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000255_h28v09_061_2022161032821_01_4_0,392,2000-09-11,kebun_jeruk,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000256_h28v09_061_2022161033513_01_0_0,616,2000-09-12,bundaran_hi,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000256_h28v09_061_2022161033513_01_1_0,329,2000-09-12,kelapa_gading,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000256_h28v09_061_2022161033513_01_2_0,570,2000-09-12,jagakarsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000256_h28v09_061_2022161033513_01_3_0,414,2000-09-12,lubang_buaya,"{""type"":""MultiPoint"",""coordinates"":[]}"
MCD19A2_A2000256_h28v09_061_2022161033513_01_4_0,629,2000-09-12,kebun_jeruk,"{""type"":""MultiPoint"",""coordinates"":[]}"
