datetime,ISPU PM2.5,temp,dew,humidity,precip,windspeed,AOD,station_name
3/6/2022,38.38,26.77475,23.500189,82.3,0.63,3.0684867,0.297560975609756,bundaran_hi
3/7/2022,5.28,26.97051,23.787748,82.8,0.002,2.461234,0.291463414634146,bundaran_hi
3/8/2022,37.6,27.17702,23.839827,82,0.585,1.9608316,0.285365853658537,bundaran_hi
3/9/2022,63.74,26.740038,23.905825,84.5,0,1.2555335,0.279268292682927,bundaran_hi
3/10/2022,77.05,27.21123,23.969393,82.5,0.082,1.2614174,0.273170731707317,bundaran_hi
3/11/2022,90.6,26.804903,24.14039,85.4,8.067,2.61554,0.267073170731707,bundaran_hi
3/12/2022,51.58,26.652674,24.180311,86.3,34.203,2.769349,0.260975609756098,bundaran_hi
3/13/2022,54.43,26.91551,24.40951,86.2,2.997,1.701346,0.254878048780488,bundaran_hi
3/14/2022,69.25,27.24816,24.540485,85.2,3.309,1.2617444,0.252827586206896,bundaran_hi
3/15/2022,70.26,26.21501,23.900578,87.1,5.906,1.5106003,0.266965517241379,bundaran_hi
3/16/2022,62.7,27.526674,24.228926,82.3,0.011,1.5898372,0.281103448275862,bundaran_hi
3/17/2022,96.24,27.730661,24.495848,82.6,0.685,1.5931683,0.295241379310345,bundaran_hi
3/18/2022,84.48,27.79656,24.284224,81.2,0,2.1396098,0.309379310344828,bundaran_hi
3/19/2022,30.32,28.083172,23.566843,76.5,0,2.7350125,0.32351724137931,bundaran_hi
3/20/2022,42.25,28.246183,23.235033,74.3,0,3.3498926,0.337655172413793,bundaran_hi
3/21/2022,22.33,27.967598,23.400423,76.3,0,3.337098,0.351793103448276,bundaran_hi
3/22/2022,19.59,27.906727,23.87775,78.8,1.942,2.4611251,0.365931034482759,bundaran_hi
3/23/2022,52.55,26.619152,23.564127,83.4,0.145,2.4668012,0.380068965517241,bundaran_hi
3/24/2022,42.1,27.839853,23.665201,78.1,4.857,1.5224811,0.394206896551724,bundaran_hi
3/25/2022,78.7,27.910587,24.399889,81.3,0.009,1.1318182,0.408344827586207,bundaran_hi
3/26/2022,74.06,26.384352,23.590776,84.7,23.024,1.5359516,0.385,bundaran_hi
3/27/2022,64.15,27.21364,23.758175,81.4,9.182,2.4399962,0.336666666666667,bundaran_hi
3/28/2022,54.25,27.28676,23.650305,80.6,5.425,1.8524188,0.288333333333333,bundaran_hi
3/29/2022,62.57,27.852129,23.801016,78.7,0,1.8047692,0.24,bundaran_hi
3/30/2022,64.38,28.089045,23.532831,76.3,0,1.223738,0.191666666666667,bundaran_hi
3/31/2022,105.75,27.438026,23.733171,80.3,0.007,1.5823822,0.159857142857143,bundaran_hi
4/1/2022,84.45,27.23009,23.552778,80.4,3.893,1.2853768,0.194142857142857,bundaran_hi
4/2/2022,70.05,27.472677,23.812742,80.5,17.489,2.3345237,0.257153846153846,bundaran_hi
4/3/2022,51.62,26.494814,23.440046,83.3,26.72,2.0113177,0.327346153846154,bundaran_hi
4/4/2022,47.77,27.766895,23.439342,77.3,0,1.83546,0.397538461538462,bundaran_hi
4/5/2022,67.05,27.018923,23.472406,81,53.595,1.4155238,0.467730769230769,bundaran_hi
4/6/2022,60.96,27.272123,23.543097,80.1,0.082,1.6154131,0.537923076923077,bundaran_hi
4/7/2022,60.59,27.5024,23.293371,77.9,0.007,2.2285118,0.586857142857143,bundaran_hi
4/8/2022,56.84,27.420237,23.252634,78,44.763,2.2521563,0.621619047619048,bundaran_hi
4/9/2022,61.3,27.54414,23.216732,77.3,0.04,1.2579805,0.656380952380952,bundaran_hi
4/10/2022,80.55,27.307095,23.513523,79.8,0.006,1.076168,0.691142857142857,bundaran_hi
4/11/2022,69.95,27.024315,23.821857,82.7,29.159,1.5243813,0.683,bundaran_hi
4/12/2022,82.95,27.097334,23.764202,82,2.125,1.268867,0.633,bundaran_hi
4/13/2022,96.94,27.723072,23.516373,77.9,0.01,1.2210507,0.583,bundaran_hi
4/14/2022,79.33,27.924929,23.921598,78.9,0.395,1.5498433,0.533,bundaran_hi
4/15/2022,72.3,27.825596,23.884125,79.2,0.07,1.632867,0.483,bundaran_hi
4/16/2022,76.85,28.32548,23.786013,76.4,0.647,1.228145,0.433,bundaran_hi
4/17/2022,99.37,28.48626,24.442764,78.8,0.04,2.2192721,0.383,bundaran_hi
4/18/2022,70.58,27.885988,24.334044,81.1,15.877,1.8117269,0.333,bundaran_hi
4/19/2022,56.47,27.092316,24.100199,83.7,0.498,1.7405981,0.283,bundaran_hi
4/20/2022,68.63,27.40837,23.910347,81.3,3.888,2.0860868,0.365,bundaran_hi
4/21/2022,51.25,26.014082,23.678183,87,11.897,1.1347677,0.624,bundaran_hi
4/22/2022,84.5,25.972368,23.598682,86.8,6.315,1.451268,0.590625,bundaran_hi
4/23/2022,67.6,27.629799,24.246725,81.8,0.011,1.2529207,0.47875,bundaran_hi
4/24/2022,77.5,27.699907,24.169651,81.1,5.748,1.3351078,0.465,bundaran_hi
4/25/2022,69.24,27.690168,24.082565,80.8,23.131,1.287255,0.495,bundaran_hi
4/26/2022,64.3,28.211767,24.130465,78.6,2.952,1.5090318,0.527461538461539,bundaran_hi
4/27/2022,55.57,26.42663,23.876057,85.9,5.175,2.0503101,0.469769230769231,bundaran_hi
4/28/2022,35.43,27.181974,24.018484,82.9,3.024,2.8814416,0.412076923076923,bundaran_hi
4/29/2022,27.86,27.637478,24.334274,82.2,0,1.6827224,0.370769230769231,bundaran_hi
4/30/2022,45.45,26.958134,24.41972,86,0.013,1.2931756,0.622692307692308,bundaran_hi
5/1/2022,69.9,27.042593,24.314058,85.1,0.084,1.2685013,0.874615384615385,bundaran_hi
5/2/2022,70.35,26.677675,24.242964,86.5,19.372,1.4943069,0.5332,bundaran_hi
5/3/2022,47.67,27.805765,24.311676,81.3,0.318,1.860414,0.44975,bundaran_hi
5/4/2022,53.63,27.25031,23.97978,82.4,0.009,1.4019357,0.296625,bundaran_hi
5/5/2022,54.55,28.011856,24.190619,79.8,0,1.7729329,0.318125,bundaran_hi
5/6/2022,39.4,28.227772,24.469038,80.1,0,1.6885362,0.41,bundaran_hi
5/7/2022,54.71,28.00543,23.940586,78.6,0.004,1.8546009,0.462647058823529,bundaran_hi
5/8/2022,53.56,29.370005,24.166952,73.6,0,1.3259687,0.515294117647059,bundaran_hi
5/9/2022,57.55,27.822565,24.766294,83.5,0.006,2.1398196,0.567941176470588,bundaran_hi
5/10/2022,59.35,28.499842,24.868067,80.7,0,1.7198687,0.560714285714286,bundaran_hi
5/11/2022,49.45,27.775187,24.891405,84.3,18.211,1.3292234,0.515666666666667,bundaran_hi
5/12/2022,72.45,28.17577,24.277971,79.4,15.548,2.4131687,0.479,bundaran_hi
5/13/2022,54.23,28.581594,24.473944,78.5,12.622,1.9536842,0.442333333333333,bundaran_hi
5/14/2022,67.27,28.125782,24.764189,82,0.002,1.4944206,0.5294,bundaran_hi
5/15/2022,88.87,27.592024,24.442368,83,7.081,1.2565018,0.52225,bundaran_hi
5/16/2022,73.5,27.306686,24.282204,83.6,0.033,1.2187959,0.4838125,bundaran_hi
5/17/2022,66.8,27.377594,24.507093,84.4,0.016,1.348582,0.445375,bundaran_hi
5/18/2022,71.35,27.230135,24.009115,82.6,35.13,1.3849161,0.4395,bundaran_hi
5/19/2022,83.31,26.762226,24.118181,85.5,9.022,1.226387,0.455333333333333,bundaran_hi
5/20/2022,75.5,26.986889,23.710936,82.3,19.55,1.2622714,0.471166666666667,bundaran_hi
5/21/2022,63,26.624601,24.09647,86,0.452,1.6416361,0.487,bundaran_hi
5/22/2022,68.32,26.645798,24.158209,86.3,0,1.9170861,0.502833333333333,bundaran_hi
5/23/2022,70,27.740252,23.962349,79.9,0,2.9786878,0.518666666666667,bundaran_hi
5/24/2022,64.71,27.747364,24.308018,81.6,0,2.6975837,0.5345,bundaran_hi
5/25/2022,78.79,26.43662,23.96723,86.3,0.533,1.7711293,0.550333333333333,bundaran_hi
5/26/2022,66.38,26.255976,23.754503,86.1,0.793,1.6049832,0.566166666666667,bundaran_hi
5/27/2022,96.39,27.621382,23.591808,78.7,1.011,1.084768,0.582,bundaran_hi
5/28/2022,77.1,26.280529,23.098286,82.7,20.294,1.3768576,0.597833333333333,bundaran_hi
5/29/2022,85.7,27.189602,23.331133,79.5,25.112,1.6898823,0.602304347826087,bundaran_hi
5/30/2022,59.24,26.649818,23.447403,82.6,0.004,1.3349087,0.603934782608696,bundaran_hi
5/31/2022,73.42,26.350573,23.57913,84.8,0.15,1.8538291,0.605565217391304,bundaran_hi
6/1/2022,55.85,27.53264,23.61637,79.3,0.057,1.5719385,0.607195652173913,bundaran_hi
6/2/2022,60.81,26.622625,23.826555,84.7,33.153,1.2171712,0.608826086956522,bundaran_hi
6/3/2022,61.63,27.20905,23.388107,79.7,0.117,1.1705624,0.61045652173913,bundaran_hi
6/4/2022,105.37,27.073778,23.528421,81,0.007,1.2991031,0.612086956521739,bundaran_hi
6/5/2022,77.45,26.60981,23.248066,81.8,0.035,1.3803697,0.613717391304348,bundaran_hi
6/6/2022,84.15,25.737728,22.946356,84.6,0.612,1.5386734,0.615347826086956,bundaran_hi
6/7/2022,66.37,26.582205,23.44126,82.9,3.882,2.3723674,0.531454545454545,bundaran_hi
6/8/2022,66.05,26.403906,23.919485,86.2,10.546,1.6912744,0.390545454545454,bundaran_hi
6/9/2022,71.75,25.506609,23.484964,88.6,5.16,1.1477165,0.304666666666667,bundaran_hi
6/10/2022,65.95,27.505693,23.504324,78.8,0.009,1.2651637,0.301333333333333,bundaran_hi
6/11/2022,69.9,26.588013,23.713104,84.3,3.003,1.373421,0.298,bundaran_hi
