epochs,learning_rate,optimizer,lstm_units,R2,RMSE,MBE,NSE,MAPE
100,0.0001,adam,16,0.30995940452322046,0.1016399358043311,-0.003361573554413399,-151.04393952477915,28.196571934223545
100,0.0001,adam,32,-0.2873503879827093,0.1388274816470131,0.06286377768312564,-171.77394130953513,27.690299846148214
100,0.0001,adam,64,0.15710488386279542,0.11233467422619266,-0.0008301647356133408,-144.92866201212843,27.667749776793848
100,0.0001,rmsprop,16,-5.703307218412133,0.3167901163459628,0.2897115131530363,-885.7911552945859,57.5450245625054
100,0.0001,rmsprop,32,-0.44709798844243265,0.14718922932212475,0.03914504317499554,-160.91169133816936,27.574320354468117
100,0.0001,rmsprop,64,-0.05823005665147485,0.12586851479597316,0.020173364916227784,-141.92505377686268,26.817759465073145
100,0.0001,sgd,16,-0.8618959514500912,0.16695705105871325,0.08909355579321701,-214.97692383174524,29.492274029811693
100,0.0001,sgd,32,-0.4871611891576073,0.149212800996251,0.04729813679234942,-164.1691164407069,27.564105396882653
100,0.0001,sgd,64,-0.621184072514706,0.15579130871745955,0.06244029935910377,-180.7152489198345,28.182574407957322
100,0.0001,nadam,16,-0.646220964090275,0.15698968766969387,0.06684018813256644,-181.38610873537715,28.100404541516355
100,0.0001,nadam,32,0.05536884502936423,0.11892090181323345,0.032133543307485114,-147.89306565575484,26.860721206658873
100,0.0001,nadam,64,-0.09685474089089086,0.12814498653957462,0.03355465726470516,-145.81449653752838,26.72019017633011
100,0.001,adam,16,0.5574697465267072,0.08139515315471528,-0.013602106123444618,-187.54570243388972,31.13408583464605
100,0.001,adam,32,0.3285158915037496,0.1002639779021665,-0.006289047675962638,-149.409472762236,28.207547076951567
100,0.001,adam,64,0.040275554677948966,0.1198671942669044,-0.06342326785796867,-182.5365461927033,32.85043932121272
100,0.001,rmsprop,16,0.1253217693403027,0.11443298331477968,0.03322639424703651,-149.23497605771317,26.913607619116892
100,0.001,rmsprop,32,0.10692728577005262,0.11562998566249447,-0.061020025705840024,-189.065961894269,33.2803361885556
100,0.001,rmsprop,64,0.1671476198269043,0.11166345904820721,-0.04551807660370873,-164.49481585127432,30.798561342955562
100,0.001,sgd,16,0.18029446848022623,0.11077863112617443,-0.004738805815971477,-138.91926737346202,27.295016619513113
100,0.001,sgd,32,-0.06444601818044093,0.12623764449161795,0.07046241421602302,-186.23475587075768,28.284599988782382
100,0.001,sgd,64,0.11092949126537222,0.1153706033130979,-0.06191431066588932,-192.15784063754865,33.5501636268753
100,0.001,nadam,16,-0.19233182040301133,0.1336058974562446,0.06560926748150067,-173.7984508763906,27.765162956738443
100,0.001,nadam,32,-0.09995548041294522,0.1283259876279333,-0.07105441294205087,-187.09686521347035,33.47028649222306
100,0.001,nadam,64,-0.8106807468744017,0.16464479409406763,-0.13192963792022738,-307.44841513404066,43.93934081592386
100,0.01,adam,16,0.049828893504900496,0.11926910804961206,-0.02163788312112471,-137.83609900931455,27.70388895936801
100,0.01,adam,32,-0.059295492723405285,0.1259318616635149,0.04577176058764525,-152.3060021938327,26.876299907083474
100,0.01,adam,64,0.10702946345251696,0.115623370780119,0.02094418152348955,-138.51469787035745,26.52503730021652
100,0.01,rmsprop,16,0.03204683676685127,0.12037997066331443,0.008099126142625621,-133.71526025086453,26.51410180181862
100,0.01,rmsprop,32,-0.06526923933726891,0.12628644988570328,-0.032388070320631894,-142.39144612879326,28.468067171028906
100,0.01,rmsprop,64,0.0006023836967012919,0.1223196461507375,-0.000631829390501665,-133.00361670072644,26.68683143923744
100,0.01,sgd,16,-0.11452163971209628,0.12917287151277262,-0.041406721016091066,-148.34589972142092,29.287245957449752
100,0.01,sgd,32,-0.03293683532540581,0.1243551981714072,0.038620990909130855,-146.70160610314798,26.65287063998093
100,0.01,sgd,64,-0.3237281701003121,0.14077530177732522,-0.0808724998152904,-192.71883635442512,34.308890639833045
100,0.01,nadam,16,-0.6439682912106899,0.15688223931253678,-0.10735879385355057,-237.85202118539888,38.654618420902295
100,0.01,nadam,32,-0.023180181274968348,0.12376650326462695,-0.030988387346884073,-141.74197482393186,28.356641165240326
100,0.01,nadam,64,0.14640284102484424,0.11304556841775472,-0.00342751475118243,-135.3924287668812,26.950696054675262
