"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"04:00","49","46","26","8","10","14","Baik","Baik","Baik","Baik","Baik","Baik","pm10","Baik"
"05:00","50","45","26","8","10","14","Sedang","Baik","Baik","Baik","Baik","Baik","pm10","Sedang"
"06:00","51","46","26","8","10","15","Sedang","Baik","Baik","Baik","Baik","Baik","pm10","Sedang"
"07:00","51","46","26","8","10","15","Sedang","Baik","Baik","Baik","Baik","Baik","pm10","Sedang"
"08:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"09:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10:00","52","45","26","8","10","15","Sedang","Baik","Baik","Baik","Baik","Baik","pm10","Sedang"
"11:00","53","44","26","7","9","15","Sedang","Baik","Baik","Baik","Baik","Baik","pm10","Sedang"
"12:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"13:00","52","43","26","8","8","17","Sedang","Baik","Baik","Baik","Baik","Baik","pm10","Sedang"
"14:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"15:00","51","48","26","9","10","17","Sedang","Baik","Baik","Baik","Baik","Baik","pm10","Sedang"
"16:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"17:00","52","51","26","9","10","17","Sedang","Sedang","Baik","Baik","Baik","Baik","pm10","Sedang"
"18:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19:00","52","52","26","9","11","18","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"20:00","52","53","26","10","11","18","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"21:00","52","53","26","10","10","19","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"22:00","52","54","26","11","10","20","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"23:00","52","54","26","12","10","20","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
