"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","0","95","45","15","23","23","-","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"01:00","0","93","45","15","22","24","-","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"02:00","0","92","45","14","23","23","-","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"03:00","0","91","45","13","23","22","-","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"04:00","0","90","45","12","24","21","-","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"05:00","0","88","45","12","24","21","-","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"06:00","0","86","45","11","24","22","-","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"07:00","0","83","45","10","24","22","-","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"08:00","0","82","45","10","24","21","-","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"09:00","0","80","45","10","24","21","-","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"10:00","0","79","45","10","24","20","-","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"11:00","0","77","45","10","23","20","-","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"12:00","0","76","45","10","20","20","-","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"13:00","0","75","45","10","18","21","-","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"14:00","0","80","46","10","23","20","-","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"15:00","0","80","46","10","22","20","-","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"16:00","0","84","46","9","26","19","-","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"17:00","0","85","46","9","26","18","-","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"18:00","0","86","46","9","26","17","-","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"19:00","0","86","46","9","27","16","-","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"20:00","0","86","46","8","28","15","-","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"21:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"22:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"23:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
