"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","52","70","54","13","11","14","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"01:00","52","71","53","14","11","14","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"02:00","53","72","53","14","11","15","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"03:00","53","72","53","14","11","15","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"04:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"05:00","52","72","53","14","11","16","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"06:00","53","71","53","14","11","16","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"07:00","53","71","53","14","11","16","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"08:00","52","71","53","14","11","16","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"09:00","51","70","53","14","11","15","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"10:00","50","69","53","14","10","15","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"11:00","50","68","53","14","9","15","Sedang","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"12:00","48","67","53","14","8","15","Baik","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"13:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"14:00","45","67","54","14","7","16","Baik","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"15:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"16:00","43","68","54","14","6","17","Baik","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"17:00","42","68","54","14","6","17","Baik","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"18:00","41","68","54","14","5","17","Baik","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"19:00","40","67","54","14","5","17","Baik","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"20:00","40","67","54","14","5","17","Baik","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"21:00","40","67","54","15","5","16","Baik","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"22:00","40","67","54","15","5","16","Baik","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
"23:00","40","63","54","16","5","16","Baik","Sedang","Sedang","Baik","Baik","Baik","pm25","Sedang"
