"Waktu","ISPU PM10","ISPU PM2.5","ISPU SO2","ISPU CO","ISPU O3","ISPU NO2","Status By PM10","Status By PM2.5","Status By SO2","Status By CO","Status By O3","Status By NO2","Critical Parameter","Overall ISPU Status"
"00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"01:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"02:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"03:00","64","98","41","9","18","14","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"04:00","61","93","41","9","18","15","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"05:00","59","90","41","9","18","15","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"06:00","56","88","41","9","19","16","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"07:00","54","86","41","8","19","16","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"08:00","52","81","41","8","19","16","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"09:00","50","78","41","9","19","17","Sedang","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"10:00","47","77","41","9","19","18","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"11:00","45","76","41","9","20","18","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"12:00","43","75","41","9","20","18","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"13:00","42","75","41","9","19","18","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"14:00","40","74","41","10","19","19","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"15:00","38","74","40","10","18","19","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"16:00","38","75","40","10","17","20","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"17:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"18:00","37","73","40","10","17","20","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"19:00","37","73","41","10","17","20","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"20:00","37","73","40","10","17","20","Baik","Sedang","Baik","Baik","Baik","Baik","pm25","Sedang"
"21:00","37","73","41","10","0","21","Baik","Sedang","Baik","Baik","-","Baik","pm25","Sedang"
"22:00","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"23:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
